epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,926.722,1.22757,2.4259,1.42582,0.73279,0.69438,0.72442,0.52909,0.96861,1.26571,1.1993,0.000128239,0.000128239,0.000128239
2,1963.71,1.20213,1.60278,1.38026,0.75458,0.6964,0.74297,0.53741,0.99735,1.13778,1.22027,0.000248105,0.000248105,0.000248105
3,3063.5,1.20231,1.5277,1.38657,0.75369,0.72047,0.74515,0.53709,0.99309,1.04206,1.21035,0.000359502,0.000359502,0.000359502
4,6577.54,1.17773,1.43391,1.36448,0.79459,0.74603,0.78367,0.57068,0.9671,0.90573,1.18189,0.000346885,0.000346885,0.000346885
5,8126.37,1.13729,1.31086,1.33595,0.81841,0.78814,0.81678,0.61384,0.89617,0.8085,1.14082,0.00033418,0.00033418,0.00033418
6,9241.66,1.10881,1.22749,1.31724,0.8311,0.78431,0.83339,0.63065,0.86199,0.78429,1.11572,0.000321475,0.000321475,0.000321475
7,10330.8,1.06991,1.14301,1.29498,0.86497,0.78058,0.85277,0.65414,0.84503,0.72038,1.10459,0.00030877,0.00030877,0.00030877
8,11371,1.06059,1.08722,1.28333,0.85632,0.80174,0.85604,0.66567,0.82752,0.70453,1.09045,0.000296065,0.000296065,0.000296065
9,12494.8,1.02868,1.03032,1.26263,0.85623,0.81642,0.85756,0.66324,0.83365,0.70481,1.09682,0.00028336,0.00028336,0.00028336
10,13696.8,1.02005,0.98412,1.25603,0.89202,0.80568,0.87192,0.68124,0.80334,0.64656,1.0719,0.000270655,0.000270655,0.000270655
11,14830.9,1.00448,0.94962,1.24645,0.87945,0.83023,0.8812,0.69525,0.79072,0.6023,1.06194,0.00025795,0.00025795,0.00025795
12,15963.5,0.98793,0.90846,1.2368,0.86076,0.83157,0.87522,0.68827,0.79819,0.62436,1.07423,0.000245245,0.000245245,0.000245245
13,17095.8,0.97218,0.89099,1.22383,0.87998,0.82979,0.87784,0.69725,0.77159,0.60246,1.04218,0.00023254,0.00023254,0.00023254
14,18162.9,0.95385,0.85062,1.21254,0.87531,0.84216,0.88756,0.70772,0.7573,0.57182,1.03473,0.000219835,0.000219835,0.000219835
15,19278.8,0.94569,0.82084,1.20515,0.88777,0.84,0.88836,0.71067,0.75685,0.56355,1.04132,0.00020713,0.00020713,0.00020713
16,20443,0.93042,0.80071,1.19857,0.88554,0.85135,0.88959,0.71242,0.74601,0.5819,1.03179,0.000194425,0.000194425,0.000194425
17,21513,0.9159,0.77159,1.18777,0.89032,0.84771,0.89353,0.72054,0.73699,0.54763,1.0211,0.00018172,0.00018172,0.00018172
18,22673.9,0.9095,0.75812,1.18157,0.88388,0.86308,0.90102,0.72544,0.73365,0.53277,1.02227,0.000169015,0.000169015,0.000169015
19,24279.9,0.89547,0.73593,1.17454,0.89726,0.84445,0.89952,0.72612,0.73167,0.53404,1.01778,0.00015631,0.00015631,0.00015631
20,25877.9,0.88334,0.71783,1.16714,0.89353,0.84913,0.89703,0.73062,0.70872,0.52632,1.00941,0.000143605,0.000143605,0.000143605
21,27526.4,0.79776,0.52908,1.11266,0.87172,0.855,0.88553,0.7194,0.71353,0.54322,1.01292,0.0001309,0.0001309,0.0001309
22,29208.7,0.78131,0.50159,1.10021,0.90118,0.85519,0.90118,0.73603,0.70411,0.5168,0.99784,0.000118195,0.000118195,0.000118195
23,30819.1,0.75643,0.47154,1.08336,0.88421,0.87397,0.90152,0.73736,0.7045,0.50575,1.0056,0.00010549,0.00010549,0.00010549
24,32474.1,0.74292,0.45649,1.07916,0.88655,0.86982,0.90114,0.73826,0.69692,0.49795,0.99899,9.2785e-05,9.2785e-05,9.2785e-05
25,34171.8,0.72693,0.43607,1.06268,0.89789,0.86791,0.90664,0.74967,0.68603,0.48186,0.99498,8.008e-05,8.008e-05,8.008e-05
26,35851.5,0.71244,0.42365,1.05429,0.88645,0.88212,0.90975,0.75059,0.68289,0.47523,0.99413,6.7375e-05,6.7375e-05,6.7375e-05
27,37548.8,0.69903,0.41036,1.05231,0.88303,0.88172,0.9058,0.74898,0.68217,0.47605,0.99222,5.467e-05,5.467e-05,5.467e-05
28,39177.5,0.68681,0.39704,1.03723,0.89932,0.86222,0.90825,0.75176,0.67954,0.4713,0.98504,4.1965e-05,4.1965e-05,4.1965e-05
29,40916.7,0.67307,0.38225,1.02888,0.8833,0.88123,0.90953,0.75524,0.67367,0.46975,0.98187,2.926e-05,2.926e-05,2.926e-05
30,42711.8,0.6641,0.3759,1.02128,0.88092,0.89057,0.91044,0.75662,0.67244,0.46239,0.98265,1.6555e-05,1.6555e-05,1.6555e-05
